PlantID,PlantName,Accession,ClonalGroup,Replicate,AccessionID,ExperimentID,User,GrowthLocation,TrayPosition,PlantingDate,IntoChamberDate,EmergenceDate,Oct12_GrowthStage,Oct14_GrowthStage,Oct17_GrowthStage,Oct19_GrowthStage,Oct21_GrowthStage,Oct23_GrowthStage,Oct26_GrowthStage,Oct28_GrowthStage,Oct30_GrowthStage,Nov2_GrowthStage,Nov4_GrowthStage,Nov6_GrowthStage,Nov13_GrowthStage,Nov16_GrowthStage,Oct17_Heightcm,Oct23_Heightcm,Oct30_Heightcm,Nov6_Heightcm,Nov13_Heightcm,Nov20_Heightcm,Dec4_Heightcm,Dec11_Heightcm,Nov11_TillerCount,Dec9_TillerCount,3rd Leaf_Width.cm,3rd Leaf_Length.cm,EarEmergenceDate,Dec16_TissueHarvest DNA Location,Dec16_TissueHarvest RNA Location,Final Height cm,Final Tiller Count,Ear Count,AboveSoil BioMass mg,4/4 re-dry BioMass,Seed Count,50seed Weight
28001,BdTR9b_R3S,BdTR9b,Clone4,3,718,BVZ0049,SRE,NCRIS-2,1A1,9/24/2015,10/2/2015,10/7/2015,0.0,0.0,1.4,1.7,2.0,2.3,2.9,3.1,3.4,3.9,4.1,4.5,5.6,6.1,6.4,7.1,9.7,12.7,17.2,20.6,34.5,40.1,5,6,0.3,6.4,11/27/2015,1A1,8A1,51.1,7,16,0.86,0.79,,
28002,BdTR3d_R2S,BdTR3d,Clone2,2,680,BVZ0049,SRE,NCRIS-2,1A2,9/24/2015,10/2/2015,10/7/2015,1.2,1.5,1.7,1.9,2.1,2.3,3.1,3.2,3.6,4.1,4.3,4.7,6.1,6.7,5.5,7.4,8.0,9.8,13.7,20.8,39.0,40.4,8,8,0.3,6.0,11/23/2015,1B1,8B1,42.3,8,19,0.94,0.88,,
28003,BdTR5g_R1S,BdTR5g,Clone3,1,701,BVZ0049,SRE,NCRIS-2,1A3,9/24/2015,10/2/2015,10/7/2015,0.0,1.0,1.4,1.7,1.9,2.1,2.4,2.9,3.1,3.5,3.9,4.1,5.2,5.7,4.7,7.0,8.2,10.5,14.0,17.4,31.8,37.4,5,6,0.3,7.3,11/25/2015,1C1,8C1,43.8,5,16,0.76,0.68,,
28004,BdTR9f_R1S,BdTR9f,Clone4,1,721,BVZ0049,SRE,NCRIS-2,1A4,9/24/2015,10/2/2015,10/7/2015,0.0,1.2,1.6,1.9,1.9,2.2,2.6,3.1,3.3,3.9,4.0,4.3,5.6,6.2,5.4,7.2,8.2,11.3,15.7,22.5,36.8,41.9,6,6,0.4,5.0,11/27/2015,1D1,8D1,44.8,6,13,0.64,0.59,,
28005,BdTR13i_R1S,BdTR13i,Clone7,1,762,BVZ0049,SRE,NCRIS-2,1A5,9/24/2015,10/2/2015,10/8/2015,1.2,1.3,1.7,1.9,2.1,2.4,2.9,3.3,3.5,4.2,4.5,4.9,6.4,7.2,4.6,7.0,8.7,11.6,15.4,21.1,34.2,35.0,6,4,0.2,6.4,11/20/2015,1E1,8E1,34.5,5,16,0.64,0.6,,
28006,BdTR11h_R1S,BdTR11h,Clone6,1,749,BVZ0049,SRE,NCRIS-2,1B1,9/24/2015,10/2/2015,10/9/2015,0.0,1.1,1.4,1.8,1.9,2.0,2.4,2.7,3.1,3.6,3.9,4.2,5.4,5.7,5.0,7.4,8.5,10.9,14.2,16.0,36.7,37.5,5,7,0.4,6.6,12/1/2015,1F1,8F1,47.5,7,16,0.86,0.79,,
28007,BdTR2c_R1S,BdTR2c,Clone1,1,662,BVZ0049,SRE,NCRIS-2,1B2,9/24/2015,10/2/2015,10/7/2015,1.3,1.5,1.7,1.9,2.0,2.3,2.8,3.1,3.5,3.9,4.2,4.6,5.8,6.4,4.3,6.0,7.5,10.6,15.5,22.9,38.7,40.7,7,6,0.3,5.7,11/26/2015,1G1,8G1,10.8,7,19,0.66,0.61,,
28008,BdTR11h_R2S,BdTR11h,Clone6,2,749,BVZ0049,SRE,NCRIS-2,1B3,9/24/2015,10/2/2015,10/7/2015,1.1,1.3,1.6,1.9,1.9,2.1,2.5,2.9,3.2,3.7,4.0,4.3,5.4,6.0,4.7,7.6,8.7,11.4,14.5,18.6,37.4,42.8,5,6,0.4,6.6,11/23/2015,1H1,8H1,53.7,5,14,0.79,0.73,,
28009,KEI1_R3S,KEI1,HYB2,3,422,BVZ0049,SRE,NCRIS-2,1B4,9/24/2015,10/2/2015,10/8/2015,0.0,0.0,1.1,1.5,1.9,2.1,2.5,2.9,3.3,3.8,4.3,4.6,-,-,6.9,10.1,15.3,23.6,32.5,39.7,43.2,43.2,6,7,0.4,11.4,11/13/2015,1A2,8A2,43,8,15,0.99,0.92,,
28010,BdTR2b_R1S,BdTR2b,Clone1,1,661,BVZ0049,SRE,NCRIS-2,1B5,9/24/2015,10/2/2015,10/7/2015,1.1,1.4,1.6,1.9,2.0,2.3,3.1,3.1,3.4,3.9,4.2,4.5,6.4,6.5,4.9,6.5,8.4,11.3,16.5,23.2,36.6,38.5,6,6,0.3,6.3,11/20/2015,1B2,8B2,39.4,,20,0.71,0.69,,
28011,BdTR9b_R2S,BdTR9b,Clone4,2,718,BVZ0049,SRE,NCRIS-2,1C1,9/24/2015,10/2/2015,10/7/2015,1.1,1.2,1.4,1.7,1.9,2.1,2.5,2.9,3.2,3.7,3.9,4.2,5.5,6.0,6.4,8.0,9.5,12.4,15.6,26.5,29.8,37.9,7,8,0.3,6.0,12/3/2015,1C2,8C2,56.9,7,14,0.81,0.77,,
28012,BdTR11d_R2S,BdTR11d,Clone6,2,745,BVZ0049,SRE,NCRIS-2,1C2,9/24/2015,10/2/2015,10/7/2015,0.0,1.3,1.6,1.9,1.9,2.1,2.5,2.9,3.3,3.7,4.1,4.4,5.6,6.1,5.4,8.7,9.8,12.5,15.3,18.9,35.3,43.3,5,6,0.4,7.3,11/27/2015,1D2,8D2,58.6,7,20,1.03,0.95,,
28013,BdTR3s_R2S,BdTR3s,Clone2,2,693,BVZ0049,SRE,NCRIS-2,1C3,9/24/2015,10/2/2015,10/7/2015,1.1,1.3,1.6,1.9,2.1,2.3,2.7,3.1,3.4,3.9,4.2,4.5,5.9,6.3,5.1,6.7,7.4,9.9,12.6,16.1,27.1,35.2,8,9,0.3,5.8,12/1/2015,1E2,8E2,41.7,9,15,0.95,0.9,,
28014,BRO1-1_R2S,BRO1-1,HYB1,2,278,BVZ0049,SRE,NCRIS-2,1C4,9/24/2015,10/2/2015,10/7/2015,0.0,0.0,1.2,1.5,1.9,2.1,2.5,2.9,3.2,3.7,4.3,4.6,-,-,8.1,12.1,16.6,24.3,35.7,46.0,49.6,49.6,6,5,0.5,12.5,11/11/2015,1F2,8F2,49.8,5,13,1.33,1.26,,
28015,BdTR10c_R1S,BdTR10c,Clone5,1,730,BVZ0049,SRE,NCRIS-2,1C5,9/24/2015,10/2/2015,10/8/2015,1.3,1.5,1.9,1.9,2.1,2.4,2.9,3.2,3.5,4.0,4.3,4.6,5.7,6.4,5.0,6.8,7.9,10.5,13.6,18.5,33.2,37.0,7,7,0.3,5.9,11/23/2015,1G2,8G2,36.4,7,19,0.75,0.7,,
28016,BdTR3d_R1S,BdTR3d,Clone2,1,680,BVZ0049,SRE,NCRIS-2,1D1,9/24/2015,10/2/2015,10/7/2015,1.0,1.3,1.6,1.9,2.1,2.3,2.7,3.2,3.5,4.1,4.4,4.7,6.1,6.4,4.6,6.2,6.8,8.8,12.8,15.1,27.5,29.7,6,12,0.3,5.2,11/25/2015,1H2,8H2,38.2,9,12,0.8,0.76,,
28017,BdTR3e_R2S,BdTR3e,Clone2,2,681,BVZ0049,SRE,NCRIS-2,1D2,9/24/2015,10/2/2015,10/7/2015,1.1,1.4,1.9,1.9,2.1,2.3,2.9,3.2,3.5,4.1,4.3,4.6,5.9,6.4,4.8,7.0,8.7,10.7,13.8,16.2,27.8,32.7,8,9,0.3,6.6,12/3/2015,1A3,8A3,48.7,8,12,0.88,0.86,,
28018,BdTR10f_R1S,BdTR10f,Clone4,1,733,BVZ0049,SRE,NCRIS-2,1D3,9/24/2015,10/2/2015,10/7/2015,1.2,1.5,1.9,1.9,2.1,2.4,2.9,3.2,3.5,3.9,4.2,4.5,5.7,6.3,4.8,6.8,8.6,10.9,14.0,21.3,37.0,42.2,7,7,0.3,6.4,11/20/2015,1B3,8B3,43.2,7,14,0.68,0.64,,
28019,BdTR5g_R3S,BdTR5g,Clone3,3,701,BVZ0049,SRE,NCRIS-2,1D4,9/24/2015,10/2/2015,10/7/2015,0.0,1.1,1.5,1.9,1.9,2.1,2.5,2.8,3.1,3.5,3.8,4.1,5.2,5.7,4.6,7.4,9.2,11.8,14.6,18.8,31.6,34.7,5,6,0.3,7.9,11/23/2015,1C3,8C3,38.4,6,16,0.77,0.7,,
28020,BdTR2g_R1S,BdTR2g,Clone1,1,666,BVZ0049,SRE,NCRIS-2,2A1,9/24/2015,10/2/2015,10/7/2015,1.2,1.4,1.7,1.9,2.1,2.3,2.7,3.1,3.5,3.9,4.2,4.5,5.7,6.2,5.3,6.7,7.9,10.6,14.4,20.2,38.5,42.5,6,7,0.3,5.9,11/23/2015,1D3,8D3,45.2,8,22,0.85,-,,
28021,BdTR2n_R1S,BdTR2n,Clone1,1,672,BVZ0049,SRE,NCRIS-2,2A2,9/24/2015,10/2/2015,10/7/2015,1.3,1.5,1.9,1.9,2.1,2.4,2.9,3.1,3.5,3.9,4.2,4.5,5.7,6.3,4.1,5.9,7.7,10.2,14.2,21.7,37.7,42.1,6,7,0.3,6.0,11/23/2015,1E3,8E3,44,7,17,0.7,-,,
28022,BdTR3c_R2S,BdTR3c,Clone2,2,679,BVZ0049,SRE,NCRIS-2,2A3,9/24/2015,10/2/2015,10/7/2015,1.4,1.7,1.9,2.0,2.2,2.5,3.1,3.4,3.7,4.2,4.5,4.9,6.2,6.7,6.3,7.8,8.9,11.0,15.2,19.6,33.7,38.0,9,10,0.3,6.7,11/25/2015,1F3,8F3,41,9,22,1.09,-,,
28023,BdTR3i_R2S,BdTR3i,Clone2,2,685,BVZ0049,SRE,NCRIS-2,2A4,9/24/2015,10/2/2015,10/7/2015,1.3,1.5,1.9,2.0,2.2,2.5,3.1,3.4,3.7,4.2,4.4,4.7,6.2,6.5,5.6,7.1,8.8,10.5,14.7,18.7,34.2,38.0,7,1,0.3,6.9,11/25/2015,1G3,8G3,46.4,7,14,0.86,-,,
28024,BdTR3r_R3S,BdTR3r,Clone2,3,692,BVZ0049,SRE,NCRIS-2,2A5,9/24/2015,10/2/2015,10/7/2015,1.4,1.6,1.9,2.0,2.2,2.5,3.2,3.5,3.9,4.3,4.6,5.1,6.3,6.7,5.8,7.3,8.5,10.7,14.5,17.0,32.9,37.3,8,14,0.3,6.6,11/27/2015,1H3,8H3,37.2,11,8,1.01,-,,
28025,BdTR5j_R3S,BdTR5j,Clone3,3,704,BVZ0049,SRE,NCRIS-2,2B1,9/24/2015,10/2/2015,10/7/2015,0.0,1.1,1.5,1.6,1.9,2.1,2.6,2.9,3.1,3.6,3.9,4.1,5.3,5.7,4.9,6.6,8.1,10.3,13.1,15.7,27.0,32.8,5,6,0.2,6.8,11/27/2015,1A4,8A4,35.5,6,19,0.71,-,,
28026,Bd21_R16S,Bd21,Bd21,16,4741,BVZ0049,SRE,NCRIS-2,2B2,9/24/2015,10/2/2015,10/9/2015,0.0,0.0,1.1,1.3,1.5,1.9,2.3,2.6,3.0,3.4,3.9,4.1,5.5,6.4,5.6,6.1,7.2,10.1,13.1,19.3,31.0,31.6,4,6,0.4,5.7,11/20/2015,1B4,8B4,31.6,6,12,0.52,-,,
28027,BdTR10i_R3S,BdTR10i,Clone5,3,736,BVZ0049,SRE,NCRIS-2,2B3,9/24/2015,10/2/2015,10/7/2015,1.2,1.5,1.7,1.9,2.0,2.3,2.9,3.1,3.4,3.9,4.1,4.5,5.6,6.1,4.7,6.8,8.7,10.8,14.5,21.1,34.4,41.8,7,6,0.3,6.5,11/23/2015,1C4,8C4,43.7,6,13,0.65,-,,
28028,BdTR13g_R1S,BdTR13g,Clone7,1,760,BVZ0049,SRE,NCRIS-2,2B4,9/24/2015,10/2/2015,10/7/2015,1.3,1.4,1.7,1.9,2.1,2.4,3.0,3.3,3.6,4.2,4.5,4.9,6.3,7.1,4.6,7.0,8.4,11.6,15.8,22.5,38.0,40.0,5,4,0.3,6.6,11/20/2015,1D4,8D4,39.3,4,14,0.57,-,,
28029,BdTR9g_R2S,BdTR9g,Clone4,2,722,BVZ0049,SRE,NCRIS-2,2B5,9/24/2015,10/2/2015,10/7/2015,0.0,1.1,1.4,1.8,2.0,2.4,2.9,3.1,3.5,3.9,4.1,4.5,5.7,6.3,6.2,7.0,9.2,12.4,15.9,22.1,35.1,39.4,7,8,0.3,6.1,11/27/2015,1E4,8E4,54.5,9,20,0.97,-,,
28030,BdTR13c_R2S,BdTR13c,Clone7,2,756,BVZ0049,SRE,NCRIS-2,2C1,9/24/2015,10/2/2015,10/7/2015,1.3,1.5,1.9,2.0,2.3,2.6,3.1,3.4,3.7,4.2,4.5,4.9,6.3,7.3,4.1,4.7,7.1,10.0,15.1,21.5,30.2,32.6,5,6,0.3,5.3,11/20/2015,1F4,8F4,32.1,4,15,0.64,-,,
28031,ELI10_R2S,ELI10,HYB1,2,349,BVZ0049,SRE,NCRIS-2,2C2,9/24/2015,10/2/2015,10/7/2015,0.0,0.0,1.3,1.7,1.9,2.2,3.1,3.1,3.4,4.1,4.4,4.6,-,-,6.3,10.2,15.5,22.8,33.2,37.3,38.8,38.8,7,8,0.4,11.0,11/13/2015,1G4,8G4,38.7,8,21,1.2,-,,
28032,BdTR11f_R3S,BdTR11f,Clone6,3,747,BVZ0049,SRE,NCRIS-2,2C3,9/24/2015,10/2/2015,10/7/2015,0.0,1.1,1.4,1.7,1.9,2.1,2.5,2.7,3.1,3.9,4.0,4.3,5.5,6.2,5.5,7.9,9.3,12.2,15.3,18.3,31.9,41.3,6,8,0.4,7.1,12/1/2015,1H4,8H4,59.2,8,22,1.16,-,,
28033,BLA1_R2S,BLA1,HYB1,2,252,BVZ0049,SRE,NCRIS-2,2C4,9/24/2015,10/2/2015,10/7/2015,0.0,0.0,1.1,1.5,1.9,2.1,2.6,2.9,3.3,3.9,4.3,4.6,-,-,7.0,10.5,15.4,24.5,35.3,39.6,43.3,43.3,8,8,0.4,11.9,11/13/2015,1A5,8A5,43.1,8,17,1.18,-,,
28034,BdTR1f_R1S,BdTR1f,Clone1,1,652,BVZ0049,SRE,NCRIS-2,2C5,9/24/2015,10/2/2015,10/7/2015,1.3,1.5,1.7,2.0,2.2,2.4,2.9,3.3,3.7,4.1,4.5,4.9,6.2,6.9,5.5,6.5,7.6,11.2,16.6,22.8,34.9,37.7,8,9,0.4,6.7,11/20/2015,1B5,8B5,37.5,7,20,0.79,-,,
28035,BdTR10g_R3S,BdTR10g,Clone5,3,734,BVZ0049,SRE,NCRIS-2,2D1,9/24/2015,10/2/2015,10/12/2015,0.0,0.0,1.3,1.6,1.9,1.9,2.3,2.6,3.0,3.5,3.8,4.1,5.3,6.0,3.9,6.5,7.6,9.8,12.8,18.3,31.0,35.4,6,8,0.3,6.3,11/23/2015,1C5,8C5,35.3,5,16,0.76,-,,
28036,BdTR3f_R2S,BdTR3f,Clone2,2,682,BVZ0049,SRE,NCRIS-2,2D2,9/24/2015,10/2/2015,10/7/2015,1.4,1.6,1.9,1.9,2.1,2.4,3.1,3.3,3.6,4.2,4.5,4.9,6.1,6.5,6.1,8.0,9.0,10.8,15.3,18.1,32.9,36.2,6,9,0.3,7.2,11/25/2015,1D5,8D5,40.1,9,16,0.88,-,,
28037,KEI5_R1S,KEI5,HYB2,1,426,BVZ0049,SRE,NCRIS-2,2D3,9/24/2015,10/2/2015,10/7/2015,0.0,0.0,1.3,1.6,1.9,2.2,2.7,3.1,3.4,3.9,4.4,4.8,-,-,7.6,12.1,17.7,26.1,38.4,39.3,42.5,41.7,7,6,0.5,12.4,11/11/2015,1E5,8E5,41.6,7,20,1.13,-,,
28038,EGL7_R2S,EGL7,HYB1,2,338,BVZ0049,SRE,NCRIS-2,2D4,9/24/2015,10/2/2015,10/7/2015,0.0,0.0,1.2,1.5,1.9,2.1,2.6,2.9,3.3,3.8,4.3,4.6,-,-,7.6,11.0,16.3,22.6,35.5,36.7,39.2,39.3,7,7,0.4,11.2,11/11/2015,1F5,8F5,39.2,7,19,1.12,-,,
28039,BdTR3k_R1S,BdTR3k,Clone2,1,687,BVZ0049,SRE,NCRIS-2,3A1,9/24/2015,10/2/2015,10/7/2015,1.2,1.4,1.9,1.9,2.1,2.3,2.7,3.2,3.5,4.1,4.3,4.6,6.0,6.5,4.2,6.6,8.0,9.2,12.1,15.7,26.4,32.9,6,12,0.3,6.4,12/3/2015,1G5,8G5,36.9,10,20,1.11,-,,
28040,Bd21_R11S,Bd21,Bd21,11,4741,BVZ0049,SRE,NCRIS-2,3A2,9/24/2015,10/2/2015,10/9/2015,0.0,0.0,1.3,1.6,1.9,2.1,2.5,3.0,3.3,3.7,4.0,4.3,6.0,6.7,6.0,7.5,8.2,10.5,12.2,21.6,25.1,25.4,5,5,0.3,5.6,11/20/2015,1H5,8H5,25.3,5,12,0.39,-,,
28041,BdTR5i_R1S,BdTR5i,Clone3,1,703,BVZ0049,SRE,NCRIS-2,3A3,9/24/2015,10/2/2015,10/9/2015,0.0,1.1,1.5,1.7,1.9,2.1,2.5,2.9,3.1,3.6,3.9,4.2,5.3,5.7,5.0,7.0,8.3,10.3,14.9,17.2,28.3,33.7,6,6,0.3,6.8,11/23/2015,1A6,8A6,39.2,6,16,0.66,-,,
28042,BdTR5a_R3S,BdTR5a,Clone3,3,695,BVZ0049,SRE,NCRIS-2,3A4,9/24/2015,10/2/2015,10/8/2015,0.0,0.0,1.1,1.4,1.7,1.9,2.3,2.6,3.0,3.5,3.8,4.0,5.1,5.5,5.5,6.6,7.9,10.1,14.6,17.2,30.4,35.5,4,6,0.3,7.7,11/27/2015,1B6,8B6,38.1,4,14,0.62,-,,
28043,GUL3-8_R1S,GUL3-8,HYB1,1,389,BVZ0049,SRE,NCRIS-2,3A5,9/24/2015,10/2/2015,10/7/2015,0.0,0.0,1.1,1.5,1.9,2.0,2.5,2.9,3.3,3.7,4.2,4.5,-,-,7.0,11.1,15.7,24.1,34.0,35.5,37.3,37.6,8,8,0.4,11.4,11/11/2015,1C6,8C6,37.2,8,23,1.28,-,,
28044,BdTR10n_R2S,BdTR10n,Clone6,2,740,BVZ0049,SRE,NCRIS-2,3B1,9/24/2015,10/2/2015,10/9/2015,0.0,1.0,1.4,1.5,1.9,2.0,2.4,2.7,3.1,3.6,3.9,4.2,5.4,5.9,5.3,7.5,8.5,10.3,14.3,16.9,38.5,41.4,4,7,0.4,6.5,11/25/2015,1D6,8D6,44.6,6,19,0.85,-,,
28045,BdTR2d_R2S,BdTR2d,Clone1,2,663,BVZ0049,SRE,NCRIS-2,3B2,9/24/2015,10/2/2015,10/7/2015,1.2,1.5,1.9,1.9,1.9,2.2,2.7,3.1,3.3,3.9,4.1,4.5,5.7,6.4,4.7,6.7,8.1,11.4,15.3,22.1,38.1,41.9,6,7,0.4,6.1,11/20/2015,1E6,8E6,41.3,8,19,0.81,-,,
28046,BdTR1j_R3S,BdTR1j,Clone1,3,656,BVZ0049,SRE,NCRIS-2,3B3,9/24/2015,10/2/2015,10/7/2015,1.1,1.5,1.8,1.9,2.1,2.4,3.0,3.3,3.7,4.2,4.5,4.9,6.2,6.6,5.0,7.5,8.4,11.8,16.3,22.7,37.4,40.2,7,9,0.4,5.9,11/25/2015,1F6,8F6,40.2,9,24,0.88,-,,
28047,BdTR3f_R3S,BdTR3f,Clone2,3,682,BVZ0049,SRE,NCRIS-2,3B4,9/24/2015,10/2/2015,10/7/2015,1.4,1.6,1.9,1.9,2.1,2.3,3.0,3.3,3.6,4.1,4.4,4.7,6.1,6.6,5.6,7.7,8.0,9.8,14.8,19.0,35.7,37.1,8,10,0.3,6.1,11/23/2015,1G6,8G6,41.6,10,21,1.06,-,,
28048,Bd21_R2S,Bd21,Bd21,2,4741,BVZ0049,SRE,NCRIS-2,3B5,9/24/2015,10/2/2015,10/9/2015,0.0,0.0,1.3,1.5,1.9,2.0,2.5,2.7,3.2,3.7,4.0,4.3,5.6,6.5,6.0,7.5,8.2,10.7,14.2,20.0,33.6,34.0,5,6,0.4,5.9,11/20/2015,1H6,8H6,33.5,6,14,0.66,-,,
28049,BdTR5g_R2S,BdTR5g,Clone3,2,701,BVZ0049,SRE,NCRIS-2,3C1,9/24/2015,10/2/2015,10/9/2015,0.0,0.0,1.2,1.5,1.9,1.9,2.3,2.6,2.9,3.3,3.5,3.9,5.1,5.6,5.0,6.4,7.6,8.3,13.8,17.2,27.9,33.1,5,7,0.3,7.3,11/27/2015,1A7,8A7,37.1,6,20,0.74,-,,
28050,BdTR13j_R2S,BdTR13j,Clone7,2,763,BVZ0049,SRE,NCRIS-2,3C2,9/24/2015,10/2/2015,10/7/2015,1.2,1.6,1.9,1.9,2.1,2.3,2.9,3.1,3.5,4.0,4.3,4.7,6.2,6.7,4.3,6.1,7.7,10.0,15.6,22.1,34.0,34.2,5,7,0.3,5.5,11/20/2015,1B7,8B7,32.4,6,19,0.621,-,,
28051,BdTR2b_R2S,BdTR2b,Clone1,2,661,BVZ0049,SRE,NCRIS-2,3C3,9/24/2015,10/2/2015,10/7/2015,1.1,1.4,1.7,1.9,2.1,2.3,2.9,2.9,3.2,3.6,4.0,4.4,6.7,7.2,4.6,6.1,8.0,9.4,13.4,21.8,35.0,39.5,7,10,0.4,5.7,11/20/2015,1C7,8C7,39.5,12,24,0.87,-,,
28052,BdTR13k_R2S,BdTR13k,Clone7,2,764,BVZ0049,SRE,NCRIS-2,3C4,9/24/2015,10/2/2015,10/7/2015,1.4,1.6,1.9,2.0,2.2,2.5,3.1,3.3,3.6,4.2,4.6,4.9,6.4,7.6,5.0,6.5,7.8,12.1,17.3,26.1,38.0,39.0,6,6,0.3,6.1,11/20/2015,1D7,8D7,38.3,6,22,0.84,-,,
28053,BdTR3k_R3S,BdTR3k,Clone2,3,687,BVZ0049,SRE,NCRIS-2,3C5,9/24/2015,10/2/2015,10/7/2015,1.1,1.4,1.8,1.9,2.2,2.4,3.1,3.3,3.3,4.2,4.5,4.9,6.2,6.7,4.4,6.2,9.3,9.2,13.1,21.3,29.1,33.8,7,11,0.3,5.9,11/25/2015,1E7,Sample Tube,37.2,12,24,0.98,-,,
28054,BdTR9b_R1S,BdTR9b,Clone4,1,718,BVZ0049,SRE,NCRIS-2,3D1,9/24/2015,10/2/2015,10/7/2015,0.0,1.2,1.6,1.9,2.0,2.3,2.7,3.1,3.1,3.9,4.1,4.5,5.7,6.2,6.3,7.6,8.0,12.2,15.7,20.2,30.7,37.3,6,13,0.3,6.0,12/4/2015,1F7,Sample Tube,59.1,11,17,1.16,-,,
28055,BdTR5m_R2S,BdTR5m,Clone3,2,706,BVZ0049,SRE,NCRIS-2,3D2,9/24/2015,10/2/2015,10/7/2015,0.0,1.0,1.3,1.6,1.9,2.1,2.6,2.7,3.1,3.5,3.9,4.1,5.3,5.7,4.7,6.5,9.3,10.0,13.4,16.0,30.4,34.7,4,7,0.3,5.8,11/27/2015,1G7,Sample Tube,37.4,7,20,0.77,-,,
28056,BdTR11g_R3S,BdTR11g,Clone6,3,748,BVZ0049,SRE,NCRIS-2,3D3,9/24/2015,10/2/2015,10/7/2015,0.0,1.1,1.5,1.9,1.9,2.1,2.5,2.9,3.1,3.7,4.0,4.3,5.6,6.0,4.8,8.0,9.5,11.5,14.8,17.7,36.1,40.5,6,8,0.4,7.3,11/27/2015,1H7,Sample Tube,52.6,7,16,1.02,-,,
28057,BdTR1n_R3S,BdTR1n,Clone1,3,659,BVZ0049,SRE,NCRIS-2,3D4,9/24/2015,10/2/2015,10/7/2015,0.0,1.1,1.4,1.7,2.0,2.3,2.8,3.1,3.3,3.9,4.1,4.5,5.7,6.3,4.9,5.8,7.8,10.5,15.2,21.0,40.5,42.4,7,10,0.3,6.1,11/25/2015,1A8,8A8,42.3,9,32,1.21,-,,
